Country;Total 2017-2019 (U$D);Total 2017-2019 (MM U$D);Total Medals
France; $44.610.894.400,00 ; $44.610,89 ;33
Germany; $29.080.092.200,00 ; $29.080,09 ;37
Spain; $16.371.201.200,00 ; $16.371,20 ;17
Italy; $15.863.874.620,00 ; $15.863,87 ;40
Great Britain; $14.210.746.900,00 ; $14.210,75 ;65
Netherlands; $12.220.659.200,00 ; $12.220,66 ;36
Sweden; $9.024.398.840,00 ; $9.024,40 ;9
Switzerland; $7.516.139.900,00 ; $7.516,14 ;13
Poland; $7.233.377.080,00 ; $7.233,38 ;14
Belgium; $6.302.077.780,00 ; $6.302,08 ;7
Norway; $5.776.342.460,00 ; $5.776,34 ;8
Hungary; $5.021.812.800,00 ; $5.021,81 ;20
Finland; $4.446.682.600,00 ; $4.446,68 ;2
Denmark; $3.991.266.380,00 ; $3.991,27 ;11
Austria; $3.651.790.920,00 ; $3.651,79 ;7
Czech Republic; $3.265.664.740,00 ; $3.265,66 ;11
Greece; $2.554.355.600,00 ; $2.554,36 ;4
Portugal; $2.156.681.080,00 ; $2.156,68 ;4
Romania; $1.984.942.400,00 ; $1.984,94 ;4
Ireland; $1.061.761.240,00 ; $1.061,76 ;4
Slovakia; $590.108.740,00 ; $590,11 ;4
Croatia; $555.463.720,00 ; $555,46 ;8
Estonia; $494.177.480,00 ; $494,18 ;2
Slovenia; $458.389.060,00 ; $458,39 ;5
Lithuania; $354.110.980,00 ; $354,11 ;1
Bulgary; $307.345.920,00 ; $307,35 ;6
Latvia; $292.824.740,00 ; $292,82 ;2
Argentina; $113.783.620,46 ; $146,16 ;3
