NOC_,height_mean,height_median,weight_mean,weight_median
AFG,72.53968253968254,-1.0,31.38888888888889,-1.0
AHO,114.10126582278481,171.0,48.822784810126585,67.0
ALB,140.68571428571428,168.0,62.17142857142857,67.0
ALG,154.61343012704174,175.0,60.851179673321234,65.0
AND,138.55621301775147,173.0,56.23076923076923,65.0
ANG,163.43820224719101,175.0,67.95131086142322,70.0
ANT,151.28571428571428,175.0,57.58646616541353,66.0
ANZ,52.73255813953488,-1.0,8.104651162790697,-1.0
ARG,122.19745222929936,170.0,49.93084622383986,65.0
ARM,162.54751131221718,170.0,69.72624434389141,69.0
ARU,169.07142857142858,171.0,69.47619047619048,66.5
ASA,99.27027027027027,168.0,56.7027027027027,74.0
AUS,155.9380727939251,175.0,62.72977219167321,69.0
AUT,111.62166893600467,170.0,45.61563898074304,63.0
AZE,168.42049469964664,171.0,66.12720848056537,66.0
BAH,167.89839572192514,178.0,68.60427807486631,74.5
BAN,144.9090909090909,167.0,53.4,60.0
BAR,154.70319634703196,175.0,63.337899543378995,71.0
BDI,168.17948717948718,171.0,59.07692307692308,60.0
BEL,81.44023852735286,-1.0,31.859217008037334,-1.0
BEN,146.61971830985917,175.0,56.16901408450704,65.0
BER,115.13207547169812,172.0,46.089622641509436,66.0
BHU,133.94444444444446,163.0,48.388888888888886,57.0
BIH,149.1417910447761,175.0,64.81343283582089,67.0
BIZ,168.10526315789474,175.0,65.53947368421052,67.0
BLR,166.50867375489648,173.0,66.41158365976497,66.0
BOH,5.862745098039215,-1.0,-1.0,-1.0
BOL,129.35526315789474,167.5,48.86184210526316,59.0
BOT,164.0222222222222,175.0,62.888888888888886,65.5
BRA,155.21465696465697,176.0,59.93477130977131,68.0
BRN,145.73809523809524,170.0,56.62698412698413,65.0
BRU,149.4,166.5,59.3,62.0
BUL,148.11048158640227,170.0,58.75028328611898,63.0
BUR,147.8409090909091,175.5,60.75,68.0
CAF,125.46268656716418,172.0,48.17910447761194,62.0
CAM,150.74603174603175,165.0,54.42857142857143,60.0
CAN,145.95931367512586,173.0,57.98525634439535,66.0
CAY,157.75903614457832,178.0,65.8433734939759,75.0
CGO,136.1238095238095,170.0,51.60952380952381,62.0
CHA,146.2439024390244,174.0,54.41463414634146,60.0
CHI,101.35783783783783,165.0,39.726486486486486,56.0
CHN,163.99183038319393,172.0,63.10552421707839,65.0
CIV,145.16062176165804,173.0,58.36787564766839,68.0
CMR,144.52884615384616,172.0,60.71474358974359,68.5
COD,126.05376344086021,173.0,45.69892473118279,63.0
COK,158.4,170.0,73.35,72.0
COL,155.52572497661365,169.0,58.63657623947615,63.0
COM,134.68421052631578,165.0,50.31578947368421,60.0
CPV,175.88888888888889,179.0,62.888888888888886,65.0
CRC,138.4469696969697,172.0,53.678030303030305,64.5
CRO,174.97260273972603,183.0,77.75913242009132,81.0
CRT,-1.0,-1.0,-1.0,-1.0
CUB,155.96208148446954,173.0,65.54282640849804,70.0
CYP,149.82666666666665,175.0,60.6,70.0
CZE,177.88260405549627,178.0,73.10832443970118,71.0
DEN,90.16050420168067,162.0,34.99327731092437,-1.0
DJI,141.28947368421052,170.0,47.60526315789474,57.0
DMA,165.6315789473684,173.0,63.89473684210526,68.0
DOM,131.57039711191337,168.0,53.238267148014444,62.0
ECU,159.956678700361,169.0,62.15884476534296,62.0
EGY,95.17755856966708,162.0,42.652589395807645,57.0
ERI,146.09302325581396,166.0,48.093023255813954,56.0
ESA,134.35321100917432,166.0,49.8348623853211,57.0
ESP,144.09486166007906,172.0,56.85027291549031,66.0
EST,164.68835616438355,179.0,68.05764840182648,72.0
ETH,158.45238095238096,170.0,53.26190476190476,56.0
EUN,146.97916666666666,174.0,60.93518518518518,68.0
FIJ,158.19396551724137,175.0,69.59482758620689,73.0
FIN,142.45619169562832,173.0,57.026888604353395,66.0
FRA,113.26579401160056,168.0,43.40245336259602,59.0
FRG,175.32458521870288,178.0,71.30346907993967,72.0
FSM,155.0,157.0,58.46153846153846,62.0
GAB,157.8095238095238,172.0,66.6984126984127,69.0
GAM,121.53571428571429,165.0,50.089285714285715,61.0
