NOC,Event,Sex,mean_height,mean_weight
AFG,Athletics Men's 100 metres,M,122.14285714285714,46.57142857142857
AFG,Athletics Men's 110 metres Hurdles,M,179.0,75.0
AFG,Athletics Men's 200 metres,M,168.0,58.0
AFG,Athletics Men's 4 x 100 metres Relay,M,172.0,63.5
AFG,Athletics Men's 400 metres,M,170.0,58.0
AFG,Athletics Men's Javelin Throw,M,179.0,75.0
AFG,Athletics Men's Long Jump,M,-1.0,-1.0
AFG,Athletics Men's Marathon,M,-1.0,-1.0
AFG,Athletics Men's Shot Put,M,-1.0,-1.0
AFG,Athletics Women's 100 metres,F,171.25,54.75
AFG,Boxing Men's Bantamweight,M,164.0,51.0
AFG,Boxing Men's Featherweight,M,160.0,54.0
AFG,Boxing Men's Flyweight,M,160.0,52.0
AFG,Boxing Men's Lightweight,M,178.0,57.0
AFG,Boxing Men's Welterweight,M,170.0,69.0
AFG,Football Men's Football,M,-1.0,-1.0
AFG,Hockey Men's Hockey,M,-1.0,-1.0
AFG,Judo Men's Half-Heavyweight,M,181.0,99.0
AFG,Judo Men's Half-Lightweight,M,173.0,66.0
AFG,Judo Women's Middleweight,F,165.0,70.0
AFG,Taekwondo Men's Featherweight,M,184.5,65.5
AFG,Taekwondo Men's Flyweight,M,183.0,63.0
AFG,Taekwondo Men's Welterweight,M,186.0,68.0
AFG,"Wrestling Men's Bantamweight, Freestyle",M,81.5,41.25
AFG,"Wrestling Men's Bantamweight, Greco-Roman",M,-1.0,28.0
AFG,"Wrestling Men's Featherweight, Freestyle",M,108.16666666666667,39.666666666666664
AFG,"Wrestling Men's Featherweight, Greco-Roman",M,109.66666666666667,41.333333333333336
AFG,"Wrestling Men's Flyweight, Freestyle",M,96.4,41.4
AFG,"Wrestling Men's Heavyweight, Freestyle",M,168.0,111.0
AFG,"Wrestling Men's Light-Flyweight, Freestyle",M,77.5,23.5
AFG,"Wrestling Men's Light-Heavyweight, Freestyle",M,114.0,56.666666666666664
AFG,"Wrestling Men's Lightweight, Freestyle",M,83.5,50.75
AFG,"Wrestling Men's Lightweight, Greco-Roman",M,56.0,45.0
AFG,"Wrestling Men's Middleweight, Freestyle",M,177.25,83.5
AFG,"Wrestling Men's Welterweight, Freestyle",M,104.0,74.6
AHO,Athletics Men's 100 metres,M,178.2,75.2
AHO,Athletics Men's 110 metres Hurdles,M,185.0,80.0
AHO,Athletics Men's 200 metres,M,181.66666666666666,75.0
AHO,Athletics Men's 400 metres,M,176.0,62.0
AHO,Athletics Men's Long Jump,M,186.0,72.0
AHO,Athletics Women's 100 metres,F,165.0,61.0
AHO,Athletics Women's 200 metres,F,168.0,58.0
AHO,Athletics Women's 800 metres,F,163.0,58.0
AHO,Bobsleigh Men's Two,M,44.25,19.75
AHO,"Equestrianism Mixed Three-Day Event, Individual",M,185.0,87.0
AHO,"Fencing Men's Sabre, Individual",M,180.0,72.0
AHO,"Fencing Women's Foil, Individual",F,174.0,58.5
AHO,Football Men's Football,M,-1.0,-1.0
AHO,Judo Men's Half-Heavyweight,M,-1.0,-1.0
AHO,Judo Men's Heavyweight,M,-1.0,-1.0
AHO,Judo Men's Middleweight,M,-1.0,-1.0
AHO,Luge Men's Singles,M,-1.0,-1.0
AHO,Sailing Men's Windsurfer,M,-1.0,-1.0
AHO,Sailing Mixed One Person Dinghy,M,91.5,38.5
AHO,Sailing Mixed Windsurfer,M,-1.0,-1.0
AHO,Sailing Women's Windsurfer,F,-1.0,-1.0
AHO,"Shooting Men's Air Pistol, 10 metres",M,172.0,65.0
AHO,Shooting Men's Double Trap,M,171.0,87.0
AHO,Shooting Men's Trap,M,171.0,87.0
AHO,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",M,176.0,120.0
AHO,Shooting Mixed Trap,M,171.0,87.0
AHO,"Shooting Women's Air Rifle, 10 metres",F,-1.0,-1.0
AHO,Swimming Men's 100 metres Freestyle,M,190.0,80.5
AHO,Swimming Men's 200 metres Freestyle,M,190.0,75.0
AHO,Swimming Men's 400 metres Freestyle,M,190.0,75.0
AHO,Swimming Men's 50 metres Freestyle,M,186.0,83.75
AHO,Swimming Women's 100 metres Backstroke,F,176.0,60.0
AHO,Synchronized Swimming Women's Duet,F,-1.0,-1.0
AHO,Synchronized Swimming Women's Solo,F,-1.0,-1.0
AHO,Triathlon Men's Olympic Distance,M,183.0,71.0
AHO,Weightlifting Men's Bantamweight,M,162.0,54.333333333333336
AHO,Weightlifting Men's Heavyweight,M,176.0,120.0
AHO,Weightlifting Men's Light-Heavyweight,M,175.0,83.0
AHO,Weightlifting Men's Lightweight,M,163.0,67.0
AHO,Weightlifting Men's Middle-Heavyweight,M,172.5,88.5
AHO,Weightlifting Men's Middleweight,M,163.0,67.0
ALB,Alpine Skiing Men's Giant Slalom,M,180.0,74.0
ALB,Alpine Skiing Men's Slalom,M,180.0,74.0
ALB,Alpine Skiing Men's Super G,M,180.0,74.0
ALB,Alpine Skiing Women's Giant Slalom,F,163.0,56.0
ALB,Alpine Skiing Women's Slalom,F,163.0,56.0
ALB,Athletics Men's 100 metres,M,182.0,82.0
ALB,Athletics Men's Hammer Throw,M,183.0,96.0
