NOC,region,Event,Sex,mean_height,mean_weight
AFG,Afghanistan,Athletics Men's 100 metres,M,171.4,65.6
AFG,Afghanistan,Athletics Men's 110 metres Hurdles,M,179.0,75.0
AFG,Afghanistan,Athletics Men's 200 metres,M,168.0,58.0
AFG,Afghanistan,Athletics Men's 4 x 100 metres Relay,M,172.0,63.5
AFG,Afghanistan,Athletics Men's 400 metres,M,170.0,58.0
AFG,Afghanistan,Athletics Men's Javelin Throw,M,179.0,75.0
AFG,Afghanistan,Athletics Women's 100 metres,F,171.25,54.75
AFG,Afghanistan,Boxing Men's Bantamweight,M,164.0,51.0
AFG,Afghanistan,Boxing Men's Featherweight,M,160.0,54.0
AFG,Afghanistan,Boxing Men's Flyweight,M,160.0,52.0
AFG,Afghanistan,Boxing Men's Lightweight,M,178.0,57.0
AFG,Afghanistan,Boxing Men's Welterweight,M,170.0,69.0
AFG,Afghanistan,Judo Men's Half-Heavyweight,M,181.0,99.0
AFG,Afghanistan,Judo Men's Half-Lightweight,M,173.0,66.0
AFG,Afghanistan,Judo Women's Middleweight,F,165.0,70.0
AFG,Afghanistan,Taekwondo Men's Featherweight,M,184.5,65.5
AFG,Afghanistan,Taekwondo Men's Flyweight,M,183.0,63.0
AFG,Afghanistan,Taekwondo Men's Welterweight,M,186.0,68.0
AFG,Afghanistan,"Wrestling Men's Bantamweight, Freestyle",M,164.0,54.5
AFG,Afghanistan,"Wrestling Men's Featherweight, Freestyle",M,162.75,60.0
AFG,Afghanistan,"Wrestling Men's Featherweight, Greco-Roman",M,165.0,62.5
AFG,Afghanistan,"Wrestling Men's Flyweight, Freestyle",M,161.33333333333334,52.0
AFG,Afghanistan,"Wrestling Men's Heavyweight, Freestyle",M,168.0,111.0
AFG,Afghanistan,"Wrestling Men's Light-Flyweight, Freestyle",M,156.0,48.0
AFG,Afghanistan,"Wrestling Men's Light-Heavyweight, Freestyle",M,171.5,85.5
AFG,Afghanistan,"Wrestling Men's Lightweight, Freestyle",M,168.0,68.0
AFG,Afghanistan,"Wrestling Men's Lightweight, Greco-Roman",M,170.0,68.0
AFG,Afghanistan,"Wrestling Men's Middleweight, Freestyle",M,177.25,83.5
AFG,Afghanistan,"Wrestling Men's Welterweight, Freestyle",M,174.0,75.0
AHO,Curacao,Athletics Men's 100 metres,M,178.2,75.2
AHO,Curacao,Athletics Men's 110 metres Hurdles,M,185.0,80.0
AHO,Curacao,Athletics Men's 200 metres,M,181.66666666666666,75.0
AHO,Curacao,Athletics Men's 400 metres,M,176.0,62.0
AHO,Curacao,Athletics Men's Long Jump,M,186.0,72.0
AHO,Curacao,Athletics Women's 100 metres,F,165.0,61.0
AHO,Curacao,Athletics Women's 200 metres,F,168.0,58.0
AHO,Curacao,Athletics Women's 800 metres,F,163.0,58.0
AHO,Curacao,Bobsleigh Men's Two,M,180.0,82.0
AHO,Curacao,"Equestrianism Mixed Three-Day Event, Individual",M,185.0,87.0
AHO,Curacao,"Fencing Men's Sabre, Individual",M,180.0,72.0
AHO,Curacao,"Fencing Women's Foil, Individual",F,174.0,58.5
AHO,Curacao,Sailing Mixed One Person Dinghy,M,184.0,78.0
AHO,Curacao,"Shooting Men's Air Pistol, 10 metres",M,172.0,65.0
AHO,Curacao,Shooting Men's Double Trap,M,171.0,87.0
AHO,Curacao,Shooting Men's Trap,M,171.0,87.0
AHO,Curacao,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",M,176.0,120.0
AHO,Curacao,Shooting Mixed Trap,M,171.0,87.0
AHO,Curacao,Swimming Men's 100 metres Freestyle,M,190.0,80.5
AHO,Curacao,Swimming Men's 200 metres Freestyle,M,190.0,75.0
AHO,Curacao,Swimming Men's 400 metres Freestyle,M,190.0,75.0
AHO,Curacao,Swimming Men's 50 metres Freestyle,M,186.0,83.75
AHO,Curacao,Swimming Women's 100 metres Backstroke,F,176.0,60.0
AHO,Curacao,Triathlon Men's Olympic Distance,M,183.0,71.0
